experiment_id,id,divided_once_experiment_finished,filamented_id,over_ds_red_id,divided_id,survived,antibiotic_start_time,antibiotic_end_time,filamentation_threshold,time_first,time_sos,time_last,length_first,length_sos,length_last,gfp_first,gfp_sos,gfp_last,ds_red_first,ds_red_sos,ds_red_last,n_divisions,time_since_last_division_to_experiment_start,lived_time,dead_or_missing_at_time
Chromosome,xy01_1_10.008-34.000,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,10,110,25.849646487889306,41.415166153918435,36.53545036273304,0.984079149269781,0.9855457229748787,0.9783849105823904,0.006164627126204638,0.006422910649151741,2.0561918991985064e-4,2,0,110,NA
Chromosome,xy01_1_11.006-26.003,FALSE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,10,10,110,41.415166153918435,41.415166153918435,85.05345252377232,0.9855457229748787,0.9855457229748787,0.9837841958989234,0.006422910649151741,0.006422910649151741,-4.813916900162621e-4,1,50,100,NA
Chromosome,xy01_10_10.024-27.026,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,20,110,29.758012989710977,40.57865927484874,89.14716514596941,0.9737885538865253,0.9723875253749515,0.9779097079293418,0.0013001475853251388,5.582252305595898e-4,-0.001596467630712412,4,10,110,NA
Chromosome,xy01_10_15.019-22.021,TRUE,TRUE,TRUE,TRUE,TRUE,60,100,38.2299101979529,50,90,110,34.05491906644462,39.23088945829036,64.4968892284212,0.9694625711139464,0.9797122007512498,0.9806626060573466,-0.0027127883539180106,0.27146824444509876,-0.0016801484720326103,3,10,60,NA
Chromosome,xy01_11_10.011-26.006,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,60,110,30.654427112414304,40.39063000213173,81.9571796113897,0.9717566528872836,0.9717566528872836,0.9792288049490108,0.00639524060520073,0.050113267237896164,-0.0016243604664393566,2,50,110,NA
Chromosome,xy01_12_10.014-26.022,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,10,110,34.123873556269224,39.204600597051815,49.423344388884374,0.9851278723661637,0.9906336686221732,0.9935668160323687,0.0035966149994954926,0.002847138903696046,-0.0018568310250901118,1,NA,110,NA
Chromosome,xy01_13_10.005-25.002,FALSE,TRUE,FALSE,FALSE,TRUE,60,100,38.2299101979529,0,40,110,26.050113011565017,43.42857154361941,56.43448730552105,0.9797859390939642,0.9737803607373348,0.9790239762192485,0.005555551886585636,0.0031988149211655873,0.001290876952372832,0,NA,110,NA
Chromosome,xy01_2_10.002-34.001,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,10,110,25.40962795160893,50.28805805671728,94.80668877798372,0.9800726993156312,0.9906008960254112,0.9809165936822518,0.00791595720172668,0.008505189007829903,-1.4711122559651712e-4,2,50,110,NA
Chromosome,xy01_2_11.005-17.001,FALSE,TRUE,FALSE,TRUE,FALSE,60,100,38.2299101979529,10,10,70,50.28805805671728,50.28805805671728,70.4287035198853,0.9906008960254112,0.9906008960254112,0.9911908027671265,0.008505189007829903,0.008505189007829903,0.27596539453864943,1,50,60,80
Chromosome,xy01_3_10.000-34.004,TRUE,TRUE,TRUE,TRUE,TRUE,60,100,38.2299101979529,0,30,110,25.657709533132,41.16579247761891,66.72571642256533,0.9822029181051588,0.9770985861594833,0.9805151293719178,0.0054724674219480025,0.0013743095551012466,2.148998893134209e-4,1,20,110,NA
Chromosome,xy01_4_10.015-34.010,TRUE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,100,110,37.24962399664901,39.537414872844614,46.84400485115678,0.9783193653888663,0.9925754449803195,0.9865125145793566,0.0035966149994954926,0.17605616809115768,-0.0012525199445528508,2,10,110,NA
Chromosome,xy01_4_12.016-22.015,FALSE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,20,50,110,24.402339893459057,39.601284077579585,58.10449401581787,0.9742391770920024,0.9715354378591404,0.9823667810889686,-0.00222889636405505,-0.0034204365705656223,-0.0012339315474299158,2,0,90,NA
Chromosome,xy01_4_15.008-30.002,FALSE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,50,110,110,32.136113849544955,42.35104364812914,42.35104364812914,0.9762219191961009,0.9844232615357816,0.9844232615357816,-0.0021730777373648517,0.002810113180070562,0.002810113180070562,1,10,60,NA
Chromosome,xy01_5_10.003-34.014,FALSE,TRUE,FALSE,TRUE,TRUE,60,100,38.2299101979529,0,70,110,29.01373519765535,40.420641171031384,77.5760529810804,0.9773034148892457,0.9778113901390559,0.9765660314621014,0.006349122163811414,0.1931817376088812,0.003161802216550515,1,40,110,NA
